component_order	component	trait_order	trait	trait_label	scaled_ct_score	cumsum_scaled
2	18	34	Urea	Urea	5.33347708832674e-05	0.160759789653967
2	18	35	Vitamin_D	Vitamin D	0.0370484580635392	0
3	20	1	Alanine_aminotransferase	Alanine aminotransferase	0.00183361472694454	0.141464313015777
3	20	2	Albumin	Albumin	0.00118986487400875	0.148058306911497
3	20	3	Alkaline_phosphatase	Alkaline phosphatase	5.2495610757434e-05	0.154228016874907
3	20	4	Apolipoprotein_A	Apolipoprotein A	0.00102444666945733	0.150437961909503
3	20	5	Apolipoprotein_B	Apolipoprotein B	2.96640720147108e-06	0.154369989209841
3	20	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.0218237851899515	0.0702270746800465
3	20	7	AST_ALT_ratio	AST ALT ratio	0.0362366657041052	0
3	20	8	C_reactive_protein	C reactive protein	0.000657677464141584	0.152285436422002
3	20	9	Calcium	Calcium	0.00118979012399686	0.149248171785506
3	20	10	Cholesterol	Cholesterol	0.000287574838574067	0.153494108298615
3	20	11	Creatinine	Creatinine	0.00443730799200252	0.122026737509121
3	20	12	Creatinine_in_urine	Creatinine in urine	0.00399372153651029	0.130883294835039
3	20	13	Cystatin_C	Cystatin C	0.0170350136206781	0.092050859869998
3	20	14	Direct_bilirubin	Direct bilirubin	4.82562193259102e-05	0.154280512485664
3	20	15	eGFR	eGFR	0.0036822411953374	0.134877016371549
3	20	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	0.00290505544888999	0.138559257566887
3	20	17	Glucose	Glucose	5.75627300487225e-08	0.154377355279412
3	20	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	0.000550994412470608	0.152943113886144
3	20	19	HDL_cholesterol	HDL cholesterol	6.63819755191829e-05	0.154161634899388
3	20	20	IGF_1	IGF 1	0.00847754479615902	0.109085873490676
3	20	21	LDL_direct	LDL direct	6.61953167395768e-06	0.154363369678167
3	20	22	Lipoprotein_A	Lipoprotein A	2.46084220757361e-06	0.154372955617042
3	20	23	Microalbumin_in_urine	Microalbumin in urine	3.46009731762393e-05	0.15432876870499
3	20	24	Non_albumin_protein	Non albumin protein	0.00179803524536726	0.143297927742721
3	20	25	Phosphate	Phosphate	0.000823027843042134	0.15146240857896
3	20	26	Potassium_in_urine	Potassium in urine	0.00446331922228552	0.117563418286835
3	20	27	SHBG	SHBG	3.07508339752243e-07	0.154377047771072
3	20	28	Sodium_in_urine	Sodium in urine	0.00138082486962894	0.146677482041868
3	20	29	Testosterone	Testosterone	1.6313118224621e-06	0.15437541645925
3	20	30	Total_bilirubin	Total bilirubin	7.03736431398937e-05	0.154091261256248
3	20	31	Total_protein	Total protein	0.000221413519617006	0.153781683137189
3	20	32	Triglycerides	Triglycerides	0.00441924933391596	0.126464045501123
3	20	33	Urate	Urate	8.81645994422649e-05	0.154003096656806
3	20	34	Urea	Urea	0.00158151905377978	0.145095962988089
3	20	35	Vitamin_D	Vitamin D	0.0339904089759413	0.0362366657041052
4	8	1	Alanine_aminotransferase	Alanine aminotransferase	0.011034772059491	0.0502061833741763
4	8	2	Albumin	Albumin	0.0109193634928952	0.0612409554336673
4	8	3	Alkaline_phosphatase	Alkaline phosphatase	0.0246033759673125	0
4	8	4	Apolipoprotein_A	Apolipoprotein A	0.000280138424969414	0.133988477556546
4	8	5	Apolipoprotein_B	Apolipoprotein B	0.00075220326204709	0.130102743802755
4	8	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.00589862330350443	0.111894886094521
4	8	7	AST_ALT_ratio	AST ALT ratio	0.00633180797084853	0.105563078123672
4	8	8	C_reactive_protein	C reactive protein	9.21531823186472e-05	0.135316063736617
4	8	9	Calcium	Calcium	0.00723216280052865	0.0983309153231438
4	8	10	Cholesterol	Cholesterol	0.000223605137778729	0.134772738509255
4	8	11	Creatinine	Creatinine	0.0139695100838861	0.0246033759673125
4	8	12	Creatinine_in_urine	Creatinine in urine	0.000705353763598135	0.130854947064802
4	8	13	Cystatin_C	Cystatin C	0.00924158970780804	0.0721603189265625
4	8	14	Direct_bilirubin	Direct bilirubin	0.00088918121298681	0.129213562589768
4	8	15	eGFR	eGFR	0.0116332973229778	0.0385728860511986
4	8	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	0.0088391144198809	0.0814019086343705
4	8	17	Glucose	Glucose	0.00066377023665579	0.1315603008284
4	8	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	0.00157393656445732	0.126715988492287
4	8	19	HDL_cholesterol	HDL cholesterol	1.63426779149746e-05	0.135556586216104
4	8	20	IGF_1	IGF 1	0.00161829807751457	0.125097690414772
4	8	21	LDL_direct	LDL direct	0.00064424378686759	0.132224071065056
4	8	22	Lipoprotein_A	Lipoprotein A	0.000217302187696584	0.134996343647033
4	8	23	Microalbumin_in_urine	Microalbumin in urine	7.77195738102382e-05	0.135408216918936
4	8	24	Non_albumin_protein	Non albumin protein	0.000630159863492614	0.132868314851924
4	8	25	Phosphate	Phosphate	0.000923637533024408	0.128289925056744
4	8	26	Potassium_in_urine	Potassium in urine	0.000259513742056594	0.134268615981516
4	8	27	SHBG	SHBG	0.000490002841129956	0.133498474715416
4	8	28	Sodium_in_urine	Sodium in urine	2.58560109189609e-05	0.135530730205185
4	8	29	Testosterone	Testosterone	4.4793712439224e-05	0.135485936492746
4	8	30	Total_bilirubin	Total bilirubin	0.00183860687663732	0.123259083538135
4	8	31	Total_protein	Total protein	0.0080898922688924	0.0902410230542514
4	8	32	Triglycerides	Triglycerides	0.00267341878255278	0.120585664755582
4	8	33	Urate	Urate	0.000244608785682367	0.134528129723572
4	8	34	Urea	Urea	0.00279215535755642	0.117793509398025
4	8	35	Vitamin_D	Vitamin D	0.000102417901887007	0.13521364583473
5	3	1	Alanine_aminotransferase	Alanine aminotransferase	0.001520149349506	0.079511193461117
5	3	2	Albumin	Albumin	4.45364559167854e-06	0.0919874656529251
5	3	3	Alkaline_phosphatase	Alkaline phosphatase	0.00154829819114863	0.0779628952699684
5	3	4	Apolipoprotein_A	Apolipoprotein A	0.0048639661723127	0.0652864348333442
5	3	5	Apolipoprotein_B	Apolipoprotein B	0.000303517626767534	0.0904370775811572
5	3	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.000410667043323086	0.0893301290082401
5	3	7	AST_ALT_ratio	AST ALT ratio	0.00138321135368011	0.081031342810623
5	3	8	C_reactive_protein	C reactive protein	0.00128676152112628	0.0824145541643031
5	3	9	Calcium	Calcium	3.00551833626121e-05	0.0919345062400467
5	3	10	Cholesterol	Cholesterol	0.00177048889141268	0.0761924063785557
5	3	11	Creatinine	Creatinine	0.000435507877048348	0.0884803878756601
5	3	12	Creatinine_in_urine	Creatinine in urine	0.000354649162627838	0.0897407960515632
5	3	13	Cystatin_C	Cystatin C	0.000887717088778337	0.0845924479858188
5	3	14	Direct_bilirubin	Direct bilirubin	0.000341632366966209	0.090095445214191
5	3	15	eGFR	eGFR	0.000414233255531691	0.0889158957527084
5	3	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	0.000866053390970322	0.0854801650745971
5	3	17	Glucose	Glucose	0.000564659105904162	0.0879157287697559
5	3	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	0.000891132300389395	0.0837013156854294
5	3	19	HDL_cholesterol	HDL cholesterol	0.008235693725017	0.0510311696895794
5	3	20	IGF_1	IGF 1	3.97865922740806e-05	0.091825515421727
5	3	21	LDL_direct	LDL direct	0.000860340293693138	0.0863462184655674
5	3	22	Lipoprotein_A	Lipoprotein A	0.000242991282410048	0.0912882582810179
5	3	23	Microalbumin_in_urine	Microalbumin in urine	1.01481701822388e-05	0.0919773174827428
5	3	24	Non_albumin_protein	Non albumin protein	3.0192972098086e-05	0.0919043132679486
5	3	25	Phosphate	Phosphate	3.90112539474985e-05	0.0918653020140011
5	3	26	Potassium_in_urine	Potassium in urine	9.51987825814776e-05	0.0917303166391456
5	3	27	SHBG	SHBG	0.0510311696895794	0
5	3	28	Sodium_in_urine	Sodium in urine	0.00029544764703602	0.0907405952079248
5	3	29	Testosterone	Testosterone	0.00371965800683281	0.0701504010056569
5	3	30	Total_bilirubin	Total bilirubin	0.000709170010495332	0.0872065587592606
5	3	31	Total_protein	Total protein	1.27560593335449e-05	0.0919645614234093
5	3	32	Triglycerides	Triglycerides	0.00601957141874782	0.0592668634145964
5	3	33	Urate	Urate	0.00232234736606599	0.0738700590124897
5	3	34	Urea	Urea	0.000252215426057145	0.0910360428549608
5	3	35	Vitamin_D	Vitamin D	0.000199067075717586	0.091531249563428
6	6	1	Alanine_aminotransferase	Alanine aminotransferase	0.00354915443144633	0.0620001202081519
